Datetime,open_time,Open,High,Low,Close,Volume
2024-11-20 00:00:00,1732032000000,92391.99,92447.45,92391.99,92447.42,28.26191
2024-11-20 00:01:00,1732032060000,92447.42,92488.0,92413.69,92424.25,51.57034
2024-11-20 00:02:00,1732032120000,92424.25,92424.25,92273.02,92312.0,36.63713
2024-11-20 00:03:00,1732032180000,92312.0,92403.48,92259.72,92278.98,25.00525
2024-11-20 00:04:00,1732032240000,92278.99,92391.71,92278.99,92372.0,23.98984
2024-11-20 00:05:00,1732032300000,92372.0,92404.0,92368.0,92404.0,32.23223
2024-11-20 00:06:00,1732032360000,92404.0,92404.0,92272.72,92272.73,13.58044
2024-11-20 00:07:00,1732032420000,92272.72,92344.0,92201.04,92344.0,17.48051
2024-11-20 00:08:00,1732032480000,92343.99,92379.66,92299.99,92305.93,27.45312
2024-11-20 00:09:00,1732032540000,92305.94,92307.61,92260.0,92289.56,12.17313
2024-11-20 00:10:00,1732032600000,92289.56,92393.93,92289.56,92347.99,14.28803
2024-11-20 00:11:00,1732032660000,92347.98,92347.99,92293.18,92304.51,9.98265
2024-11-20 00:12:00,1732032720000,92304.51,92304.51,92267.08,92280.0,14.59387
2024-11-20 00:13:00,1732032780000,92280.0,92386.47,92280.0,92386.46,21.41908
2024-11-20 00:14:00,1732032840000,92386.46,92386.47,92224.0,92227.99,21.17601
2024-11-20 00:15:00,1732032900000,92227.99,92250.0,92202.48,92244.0,37.96335
2024-11-20 00:16:00,1732032960000,92244.0,92350.0,92244.0,92326.5,12.81567
2024-11-20 00:17:00,1732033020000,92326.5,92363.64,92300.0,92345.15,18.92395
2024-11-20 00:18:00,1732033080000,92345.15,92384.68,92284.2,92327.99,23.43901
2024-11-20 00:19:00,1732033140000,92327.99,92355.99,92273.48,92290.76,13.32378
2024-11-20 00:20:00,1732033200000,92290.76,92331.99,92242.42,92262.7,13.24287
2024-11-20 00:21:00,1732033260000,92262.7,92333.34,92262.7,92312.96,10.77754
2024-11-20 00:22:00,1732033320000,92312.97,92333.34,92298.94,92321.86,9.32355
2024-11-20 00:23:00,1732033380000,92321.87,92375.95,92304.58,92338.07,18.23502
2024-11-20 00:24:00,1732033440000,92338.07,92436.0,92326.43,92435.99,30.14372
2024-11-20 00:25:00,1732033500000,92436.0,92456.0,92425.27,92442.95,15.55105
2024-11-20 00:26:00,1732033560000,92442.96,92495.29,92436.1,92484.0,25.59904
2024-11-20 00:27:00,1732033620000,92483.99,92539.41,92483.99,92536.5,74.69522
2024-11-20 00:28:00,1732033680000,92536.51,92628.9,92516.0,92620.15,123.38771
2024-11-20 00:29:00,1732033740000,92620.15,92628.84,92550.01,92550.01,40.28664
2024-11-20 00:30:00,1732033800000,92550.02,92610.79,92549.57,92590.19,34.60417
2024-11-20 00:31:00,1732033860000,92590.18,92620.0,92556.81,92583.05,25.09745
2024-11-20 00:32:00,1732033920000,92583.06,92583.06,92487.54,92505.8,26.7539
2024-11-20 00:33:00,1732033980000,92505.8,92505.81,92330.0,92357.47,83.34085
2024-11-20 00:34:00,1732034040000,92357.47,92363.84,92264.0,92296.0,41.86
2024-11-20 00:35:00,1732034100000,92296.0,92360.32,92288.0,92304.0,18.12056
2024-11-20 00:36:00,1732034160000,92303.99,92348.0,92268.45,92336.43,17.1132
2024-11-20 00:37:00,1732034220000,92336.43,92393.94,92335.35,92367.44,20.1256
2024-11-20 00:38:00,1732034280000,92367.44,92367.44,92147.12,92218.52,56.98695
2024-11-20 00:39:00,1732034340000,92218.51,92263.99,92172.59,92229.69,14.85455
2024-11-20 00:40:00,1732034400000,92229.69,92303.04,92229.69,92303.04,9.72421
2024-11-20 00:41:00,1732034460000,92303.04,92387.74,92303.03,92352.02,10.97506
2024-11-20 00:42:00,1732034520000,92352.01,92376.68,92326.83,92337.14,15.15718
2024-11-20 00:43:00,1732034580000,92337.14,92337.15,92240.0,92240.0,11.92376
2024-11-20 00:44:00,1732034640000,92240.0,92324.0,92231.4,92313.84,17.16156
2024-11-20 00:45:00,1732034700000,92313.85,92344.97,92303.16,92319.5,26.31684
2024-11-20 00:46:00,1732034760000,92319.5,92320.0,92242.93,92308.57,25.9322
2024-11-20 00:47:00,1732034820000,92308.56,92332.99,92271.4,92271.4,16.11878
2024-11-20 00:48:00,1732034880000,92271.4,92271.41,92206.88,92261.56,16.9822
2024-11-20 00:49:00,1732034940000,92261.56,92360.0,92261.56,92360.0,11.09914
2024-11-20 00:50:00,1732035000000,92359.99,92389.5,92308.0,92379.95,18.23722
2024-11-20 00:51:00,1732035060000,92379.95,92520.0,92379.95,92465.2,41.54091
2024-11-20 00:52:00,1732035120000,92465.2,92565.81,92442.17,92563.99,42.89016
2024-11-20 00:53:00,1732035180000,92563.99,92571.08,92545.45,92554.88,20.43083
2024-11-20 00:54:00,1732035240000,92554.88,92554.89,92420.0,92437.78,13.88034
