open_time,open,high,low,close,volume
1732032000000,92391.99,92447.45,92391.99,92447.42,28.26191
1732032060000,92447.42,92488.0,92413.69,92424.25,51.57034
1732032120000,92424.25,92424.25,92273.02,92312.0,36.63713
1732032180000,92312.0,92403.48,92259.72,92278.98,25.00525
1732032240000,92278.99,92391.71,92278.99,92372.0,23.98984
1732032300000,92372.0,92404.0,92368.0,92404.0,32.23223
1732032360000,92404.0,92404.0,92272.72,92272.73,13.58044
1732032420000,92272.72,92344.0,92201.04,92344.0,17.48051
1732032480000,92343.99,92379.66,92299.99,92305.93,27.45312
1732032540000,92305.94,92307.61,92260.0,92289.56,12.17313
1732032600000,92289.56,92393.93,92289.56,92347.99,14.28803
1732032660000,92347.98,92347.99,92293.18,92304.51,9.98265
1732032720000,92304.51,92304.51,92267.08,92280.0,14.59387
1732032780000,92280.0,92386.47,92280.0,92386.46,21.41908
1732032840000,92386.46,92386.47,92224.0,92227.99,21.17601
1732032900000,92227.99,92250.0,92202.48,92244.0,37.96335
1732032960000,92244.0,92350.0,92244.0,92326.5,12.81567
1732033020000,92326.5,92363.64,92300.0,92345.15,18.92395
1732033080000,92345.15,92384.68,92284.2,92327.99,23.43901
1732033140000,92327.99,92355.99,92273.48,92290.76,13.32378
1732033200000,92290.76,92331.99,92242.42,92262.7,13.24287
1732033260000,92262.7,92333.34,92262.7,92312.96,10.77754
1732033320000,92312.97,92333.34,92298.94,92321.86,9.32355
1732033380000,92321.87,92375.95,92304.58,92338.07,18.23502
1732033440000,92338.07,92436.0,92326.43,92435.99,30.14372
1732033500000,92436.0,92456.0,92425.27,92442.95,15.55105
1732033560000,92442.96,92495.29,92436.1,92484.0,25.59904
1732033620000,92483.99,92539.41,92483.99,92536.5,74.69522
1732033680000,92536.51,92628.9,92516.0,92620.15,123.38771
1732033740000,92620.15,92628.84,92550.01,92550.01,40.28664
1732033800000,92550.02,92610.79,92549.57,92590.19,34.60417
1732033860000,92590.18,92620.0,92556.81,92583.05,25.09745
1732033920000,92583.06,92583.06,92487.54,92505.8,26.7539
1732033980000,92505.8,92505.81,92330.0,92357.47,83.34085
1732034040000,92357.47,92363.84,92264.0,92296.0,41.86
1732034100000,92296.0,92360.32,92288.0,92304.0,18.12056
1732034160000,92303.99,92348.0,92268.45,92336.43,17.1132
1732034220000,92336.43,92393.94,92335.35,92367.44,20.1256
1732034280000,92367.44,92367.44,92147.12,92218.52,56.98695
1732034340000,92218.51,92263.99,92172.59,92229.69,14.85455
1732034400000,92229.69,92303.04,92229.69,92303.04,9.72421
1732034460000,92303.04,92387.74,92303.03,92352.02,10.97506
1732034520000,92352.01,92376.68,92326.83,92337.14,15.15718
1732034580000,92337.14,92337.15,92240.0,92240.0,11.92376
1732034640000,92240.0,92324.0,92231.4,92313.84,17.16156
1732034700000,92313.85,92344.97,92303.16,92319.5,26.31684
1732034760000,92319.5,92320.0,92242.93,92308.57,25.9322
1732034820000,92308.56,92332.99,92271.4,92271.4,16.11878
1732034880000,92271.4,92271.41,92206.88,92261.56,16.9822
1732034940000,92261.56,92360.0,92261.56,92360.0,11.09914
1732035000000,92359.99,92389.5,92308.0,92379.95,18.23722
1732035060000,92379.95,92520.0,92379.95,92465.2,41.54091
1732035120000,92465.2,92565.81,92442.17,92563.99,42.89016
1732035180000,92563.99,92571.08,92545.45,92554.88,20.43083
1732035240000,92554.88,92554.89,92420.0,92437.78,13.88034
1732035300000,92437.78,92500.0,92424.24,92500.0,11.38595
1732035360000,92499.99,92568.0,92499.99,92567.99,21.87863
1732035420000,92567.99,92588.0,92524.0,92560.0,42.56771
1732035480000,92560.0,92584.0,92544.81,92550.25,22.29581
1732035540000,92550.25,92567.99,92500.0,92553.79,16.27814
1732035600000,92553.78,92553.78,92492.0,92507.99,25.92784
1732035660000,92508.0,92542.22,92472.29,92491.33,33.07424
