open_time,open,high,low,close,volume
1732061940000,92195.77,92195.78,92105.34,92108.01,10.81186
1732062000000,92108.01,92128.0,92100.0,92106.75,16.27601
1732062060000,92106.75,92114.81,92074.69,92074.7,7.44805
1732062120000,92074.7,92120.0,92074.69,92103.99,18.40378
1732062180000,92104.0,92170.91,92086.11,92170.9,8.56836
1732062240000,92170.9,92191.88,92155.09,92162.02,5.48014
1732062300000,92162.03,92184.0,92162.03,92173.43,3.82018
1732062360000,92173.43,92176.46,92097.51,92097.51,9.4963
1732062420000,92097.52,92119.69,92036.01,92036.02,19.22576
1732062480000,92036.01,92151.32,92035.0,92069.35,25.25034
1732062540000,92069.35,92091.07,92028.0,92042.96,10.36176
1732062600000,92042.96,92047.99,92000.0,92024.0,15.1399
1732062660000,92023.99,92180.0,92015.6,92179.99,32.75161
1732062720000,92179.99,92180.0,92064.0,92064.03,10.40875
1732062780000,92064.02,92148.0,92064.02,92142.32,6.78845
1732062840000,92142.32,92142.32,92077.08,92080.35,5.60636
1732062900000,92080.35,92105.97,92050.53,92105.96,5.32307
1732062960000,92105.97,92248.0,92105.96,92150.0,14.32291
1732063020000,92150.0,92208.0,92136.0,92208.0,7.15535
1732063080000,92208.0,92260.0,92208.0,92240.83,16.88756
1732063140000,92240.83,92260.0,92228.0,92260.0,6.65724
1732063200000,92259.99,92282.12,92258.21,92261.03,8.92821
1732063260000,92261.03,92320.0,92257.0,92300.71,10.86975
1732063320000,92300.71,92316.0,92276.18,92308.0,11.45001
1732063380000,92307.99,92308.0,92257.25,92284.5,14.45386
1732063440000,92284.49,92284.49,92233.69,92233.7,23.71818
1732063500000,92233.69,92242.5,92156.15,92220.01,17.46439
1732063560000,92220.01,92260.0,92181.45,92181.46,15.3003
1732063620000,92181.46,92204.0,92140.46,92156.9,10.69371
1732063680000,92156.9,92179.5,92129.41,92179.5,6.41699
1732063740000,92179.5,92179.5,92124.51,92130.93,5.41685
1732063800000,92130.92,92151.52,92118.84,92151.52,3.42136
1732063860000,92151.52,92159.62,92147.89,92153.88,5.26753
1732063920000,92153.88,92159.62,92124.17,92155.99,3.31183
1732063980000,92155.99,92196.0,92155.98,92182.92,4.05834
1732064040000,92182.92,92187.6,92146.76,92146.76,2.97426
1732064100000,92146.77,92165.0,92146.77,92146.77,9.93256
1732064160000,92146.77,92163.99,92146.77,92148.57,24.32114
1732064220000,92148.58,92148.77,92121.24,92123.99,11.31185
1732064280000,92123.98,92123.98,92066.19,92066.2,7.27943
1732064340000,92066.2,92070.72,92044.18,92044.19,4.56193
1732064400000,92044.18,92080.0,92010.0,92079.99,12.22346
1732064460000,92079.99,92100.0,92061.43,92068.02,9.65395
